key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
btn-claim,,,Claim!,Получить!,¡Reclamar!,Resgatar!,Réclamer !,Beanspruchen!,Richiedi!,受け取る！,획득!,领取！,領取！,Klaim!,รับ!,Al!,Nhận!,Odbierz!,الحصول!,
btn-claimed,,,Claimed,Получено,Reclamado,Resgatado,Réclamé,Beansprucht,Reclamato,受け取り済み,획득됨,已领取,已領取,Terklaim,รับแล้ว,Alındı,Đã nhận,Odebrano,تم الاستلام,
btn-tomorrow,,,Tomorrow,Завтра,Mañana,Amanhã,Demain,Morgen,Domani,明日,내일,明天,明天,Besok,พรุ่งนี้,Yarın,Ngày mai,Jutro,غدا,
btn-locked,,,Locked,Закрыто,Bloqueado ,Trancado,Verrouillé,Gesperrt,Bloccato ,ロック済み,잠김,已锁定,已鎖定,Terkunci,ล็อค,Kilitli,Bị Khóa,Zablokowane,مقفل,
label-day-n,,,Day {n},День {n},Día {n},Dia {n},Jour {n},Tag {n},Giorno {n},日 {n},일 {n},第{n}天,第{n}天,Hari {n},วันที่ {n},Gün {n},Ngày {n},Dzień {n},اليوم {n},
label-gold-n,,,+{n} Gold,+{n} золота,+{n} Oro ,+{n} Ouro,+{n} Or,+{n} Gold ,+{n} Oro ,+{n} ゴールド,+{n} 골드,+{n} 金币,+{n} 黃金,+{n} Emas ,+{n} ทอง,+{n} Altın,+{n} Vàng ,+{n} Złota,+{n} الذهب ,
label-gems-n,,,+{n} Gems,+{n} драгоценных камней,+{n} Gemas ,+{n} Gemas,+{n} Gemmes,+{n} Edelsteine ,+{n} gemme ,+{n} ジェム,+{n} 보석,+{n} 颗宝石,+{n} 顆寶石,+{n} Permata ,+{n} อัญมณี,+{n} Mücevherler,+{n} Đá quý ,+{n} klejnotów ,+{n} الجواهر ,
label-calories-n,,,+{n} Cal,+{n} калорий,+{n} Calorías ,+{n} Calorias,+{n} Cal,+{n} Kalorien,+{n} Cal,+{n} カロリー,+{n} 캘,+{n} 卡路里 ,+{n} 卡路里,+{n} Kalori ,+{n} Cal,+{n} Kalori,+{n} Calo,+{n} kalorii,+{n} من السعرات الحرارية,
label-egg,,,Free Egg,Бесплатное яйцо,Huevo gratis,Ovo Grátis,Oeuf gratuit,Kostenloses Ei,Uovo gratuito,無料の卵,무료 에그,免费鸡蛋,免費雞蛋,Telur Gratis,ไข่ฟรี,Bedava Yumurta,Trứng miễn phí,Darmowe jajko.,البيضة المجانية,
label-egg-epic,,,EPIC Egg!,Эпическое яйцо!,Huevo épico!,Ovo ÉPICO!,Oeuf épique !,EPISCHES Ei!,Uovo EPICO!,エピックエッグ！,에픽 에그!,史诗蛋！,史詩蛋！,Telur EPIC!,ไข่อีปิค!,Epik Yumurta!,Trứng EPIC!,Epickie jajko!,البيضة الأسطورية!,
label-boost,,,x2 Boost,x2 Усиление ,Impulso x2,x2 Impulso ,Boost x2,x2 Schub\n,x2 Potenziamento ,x2ブースト,x2 부스트,x2 加成 ,雙倍加成,x2 Peningkatan ,x2 บูส ,x2 Takviye,x2 Tăng cường ,x2 Wzmocnienie,تعزيز x2,
boost-bite,,,Extra Bite,Дополнительный укус,Mordida extra,Mordida Extra,Morsure supplémentaire,Extra-Biss ,Morso Extra,エクストラバイト,추가 바이트,额外一口,額外一口,Gigitan Ekstra,กัดพิเศษ,Ekstra ısırma ,Thêm một miếng,Dodatkowe ugryzienie,لقمة إضافية,
boost-speed,,,x2 Speed,x2 Скорость,x2 Velocidad,x2 Velocidade,x2 Vitesse,x2 Geschwindigkeit,x2 Velocità,x2 スピード,x2 스피드,x2 速度,雙倍速度,x2 Kecepatan,x2 ความเร็ว,x2 Hız,x2 Tốc độ,x2 Prędkość,سرعة x2,
boost-capacity,,,x2 Stomach,x2 Желудок,x2 Estómago ,x2 Estômago,x2 Estomac,x2 Magen,x2 Stomaco ,x2 胃,x2 배\n,x2 胃,x2 胃,x2 Perut ,x2 ท้อง ,x2 Mide,x2 Dạ dày,x2 Brzuch,x2 المعدة,
boost-15m,,,x2 Calories,x2 калорий,x2 Calorías ,x2 Calorias,x2 Calories,x2 Kalorien,x2 Calorie,x2カロリー,x2 칼로리,x2 卡路里,雙倍卡路里,x2 Kalori ,x2 แคลอรี่,x2 Kalori,x2 Calo,x2 Kalorie,×2 السعرات الحرارية,
status-code-ok-gems,,,Code redeemed! +{n} Gems,Код активирован! +{n} самоцветов,Código canjeado! +{n} Gemas ,Código resgatado! +{n} Gemas,Code utilisé ! +{n} Gemmes,Code eingelöst! +{n} Edelsteine ,Codice riscattato! +{n} gemme ,コードを引き換えました！+{n}ジェム,코드 교환 완료! +{n} 보석,兑换码已兑换！+{n} 颗宝石 ,代碼已兌換！+{n} 顆寶石 ,Kode ditebus! +{n} Permata ,แลกโค้ดแล้ว! +{n} อัญมณี,Kod kullanıldı! +{n} Mücevher,Mã đã được sử dụng! +{n} Gems,Kod wykorzystany! +{n} klejnotów,تم استرداد الرمز! +{n} الجواهر ,
menu-daily,,,Daily,Ежедневно,Diario,Diário,Quotidien,Täglich ,Giornaliero ,デイリー,일간,每日,每日,Harian,ประจำวัน,Günlük,Hàng ngày,Codzienne,يوميا,
menu-shop,,,Shop,Магазин,Tienda ,Loja,Boutique,Geschäft,Negozio ,ショップ,상점,商店,商店,Toko,ร้านค้า,Mağaza,Cửa hàng,Sklep,المتجر ,
menu-codes,,,Codes,Коды,Códigos,Códigos,Codes,Codes,Codici,コード,코드,代码,代碼,Kode,โค้ด,Kodlar,Mã,Kody,الرموز,
menu-settings,,,Settings,Настройки,Configuración,Configurações,Paramètres,Optionen,Impostazioni,設定,설정,设置,設定,Pengaturan,ตั้งค่า,Ayarlar,Cài đặt,Ustawienia,الإعدادات,
menu-pets,,,Squishies,Мягкие игрушки,Squishies,Squishies,Squishies,Squishies,Squishies,スクイシー,스 퀴시,软萌玩具,軟糖,Squishies,Squishies,Yumuşacıklar,Thú bông mềm,Pluszaki,الإسفنج,
menu-upgrades,,,Upgrades,Улучшения,Mejoras ,Melhorias ,Améliorations,Verbesserungen,Miglioramenti,アップグレード,강화,升级,升級,Peningkatan ,อัพเกรด,Yükseltmeler,Nâng cấp,Ulepszenia,الترقيات ,
menu-cakes,,,Cakes,Торты,Tartas,Bolos,Gâteaux,Kuchen,Torte,ケーキ,케이크,蛋糕,蛋糕,Kue,เค้ก,Kekler,Bánh,Torty,الكعك,
menu-invite,,,Invite,Пригласить,Invitar,Convidar,Inviter,Einladen,Invitare,招待する,초대,邀请,邀請,Undang,เชิญชวน,Davet Et,Mời,Zapraszam,دعوة,
menu-group,,,Reward,Награда,Recompensa,Recompensa,Récompense,Belohnung,Ricompensa,褒賞,보상,奖励,獎勵,Hadiah,รางวัล,Ödül,Phần thưởng,Nagroda,المكافأة,
title-settings,,,Settings,Настройки,Configuración,Configurações,Paramètres,Optionen,Impostazioni,設定,설정,设置,設定,Pengaturan,ตั้งค่า,Ayarlar,Cài đặt,Ustawienia,الإعدادات,
title-daily-rewards,,,Daily Rewards,Ежедневные награды,Recompensas diarias,Recompensas Diárias,Récompenses quotidiennes,Tägliche Belohnungen,Ricompense giornaliere,デイリー報酬,일일 보상,每日奖励,每日獎勵,Hadiah Harian,รางวัลประจำวัน,Günlük Ödüller,Phần thưởng hàng ngày,Codzienne Nagrody,المكافآت اليومية,
title-shop,,,Shop,Магазин,Tienda ,Loja,Boutique,Geschäft,Negozio ,ショップ,상점,商店,商店,Toko,ร้านค้า,Mağaza,Cửa hàng,Sklep,المتجر ,
title-codes,,,Codes,Коды,Códigos,Códigos,Codes,Codes,Codici,コード,코드,代码,代碼,Kode,โค้ด,Kodlar,Mã,Kody,الرموز,
title-pets,,,Squishies,Мягкие игрушки,Squishies,Squishies,Squishies,Squishies,Squishies,スクイシー,스 퀴시,软萌玩具,軟糖,Squishies,Squishies,Yumuşacıklar,Thú bông mềm,Pluszaki,الإسفنج,
title-upgrades,,,Upgrades,Улучшения,Mejoras ,Melhorias ,Améliorations,Verbesserungen,Miglioramenti,アップグレード,강화,升级,升級,Peningkatan ,อัพเกรด,Yükseltmeler,Nâng cấp,Ulepszenia,الترقيات ,
title-cakes,,,Choose a Cake,Выберите торт,Elige un pastel,Escolha um Bolo,Choisissez un gâteau,Wählen Sie einen Kuchen,Scegli una torta,ケーキを選ぶ,케이크 선택,选择一个蛋糕,選擇一個蛋糕,Pilih Kue,เลือกเค้ก,Bir Kek Seçin,Chọn bánh,Wybierz tort,اختر كعكة,
cake-name-classic,,,Classic Cake,Классический торт,Tarta Clásica ,Bolo Clássico,Gâteau classique,Klassischer Kuchen,Torta Classica,クラシックケーキ,클래식 케이크,经典蛋糕,經典蛋糕,Kue Klasik,เค้กคลาสสิค,Klasik Kek,Bánh Cổ Điển,Klasyczne ciasto,الكعكة الكلاسيكية,
cake-name-rainbow,,,Rainbow Cake,Радужный торт,Torta arcoíris,Bolo Arco-Íris,Gâteau arc-en-ciel,Regenbogen-Kuchen,Torta Arcobaleno,レインボーケーキ,레인보우 케이크,彩虹蛋糕,彩虹蛋糕,Kue Pelangi,เค้กสายรุ้ง,Gökkuşağı Keki,Bánh cầu vồng,Tęczowy tort,كعكة قوس قزح ,
